id,name,age,salary,department,join_date
1,Person_1,20,70031.93318711054,HR,2020-01-01
2,Person_2,36,44339.48615043852,Sales,2020-01-02
3,Person_3,69,36412.24063263457,HR,2020-01-03
4,Person_4,25,40633.92213535689,Finance,2020-01-04
5,Person_5,48,55245.72117810347,Sales,2020-01-05
6,Person_6,43,56995.98719900852,Sales,2020-01-06
7,Person_7,36,41313.65040119455,Finance,2020-01-07
8,Person_8,39,39704.00812983613,HR,2020-01-08
9,Person_9,21,71880.98548923334,IT,2020-01-09
10,Person_10,22,45147.84131530975,IT,2020-01-10
11,Person_11,55,42540.89982205989,HR,2020-01-11
12,Person_12,25,27634.41540442471,Sales,2020-01-12
13,Person_13,77,104321.20538330279,Finance,2020-01-13
14,Person_14,24,26379.641289677777,Finance,2020-01-14
15,Person_15,68,47582.83895733198,Finance,2020-01-15
16,Person_16,18,68384.623966234,IT,2020-01-16
17,Person_17,60,61084.368038411754,HR,2020-01-17
18,Person_18,67,31146.569836228144,Sales,2020-01-18
19,Person_19,64,45445.61408060648,Sales,2020-01-19
20,Person_20,46,39905.9474576351,Sales,2020-01-20
21,Person_21,66,46157.03545827596,IT,2020-01-21
22,Person_22,47,47094.718399074256,Finance,2020-01-22
23,Person_23,22,38082.18236910208,IT,2020-01-23
24,Person_24,29,81645.81570803224,IT,2020-01-24
25,Person_25,26,40564.229162462245,IT,2020-01-25
26,Person_26,19,53210.77687804967,HR,2020-01-26
27,Person_27,26,28628.028267950245,Sales,2020-01-27
28,Person_28,43,20262.054466240283,IT,2020-01-28
29,Person_29,73,44988.47536353441,HR,2020-01-29
30,Person_30,61,50945.65627707195,IT,2020-01-30
31,Person_31,23,46104.894418094525,Finance,2020-01-31
32,Person_32,38,43160.75284155552,HR,2020-02-01
33,Person_33,33,96621.68775170541,IT,2020-02-02
34,Person_34,53,44929.685112398445,HR,2020-02-03
35,Person_35,44,69246.2684317994,HR,2020-02-04
36,Person_36,53,73031.90511954107,Finance,2020-02-05
37,Person_37,74,49524.28380312018,HR,2020-02-06
38,Person_38,31,69177.23846854286,HR,2020-02-07
39,Person_39,49,43053.565096573104,Sales,2020-02-08
40,Person_40,19,37985.2583119807,HR,2020-02-09
41,Person_41,21,43949.67862793499,Sales,2020-02-10
42,Person_42,44,34451.619355012925,Finance,2020-02-11
43,Person_43,54,57266.404514951406,Sales,2020-02-12
44,Person_44,52,51297.11833200431,IT,2020-02-13
45,Person_45,22,24688.540352154174,Finance,2020-02-14
46,Person_46,31,34722.552608208745,IT,2020-02-15
47,Person_47,55,23289.31338311951,HR,2020-02-16
48,Person_48,30,64906.94457688379,IT,2020-02-17
49,Person_49,52,22458.33565283434,HR,2020-02-18
50,Person_50,59,60973.54001693003,Sales,2020-02-19
51,Person_51,38,50381.712557609295,HR,2020-02-20
52,Person_52,48,26192.564163570594,HR,2020-02-21
53,Person_53,67,27889.42337767935,Sales,2020-02-22
54,Person_54,73,25309.814457026958,HR,2020-02-23
55,Person_55,32,53219.040445418155,HR,2020-02-24
56,Person_56,55,30024.49121833482,Sales,2020-02-25
57,Person_57,56,60930.98582832234,Sales,2020-02-26
58,Person_58,20,11698.29601518893,HR,2020-02-27
59,Person_59,60,45876.282290206575,IT,2020-02-28
60,Person_60,33,42568.541408119454,HR,2020-02-29
61,Person_61,63,22772.142205360615,Finance,2020-03-01
62,Person_62,33,55753.04944641775,HR,2020-03-02
63,Person_63,34,54770.04606641386,HR,2020-03-03
64,Person_64,73,54266.57571515262,Sales,2020-03-04
65,Person_65,68,50633.10757389641,Finance,2020-03-05
66,Person_66,36,44522.14280996377,Sales,2020-03-06
67,Person_67,65,43506.15359829836,HR,2020-03-07
68,Person_68,72,39231.36971731714,HR,2020-03-08
69,Person_69,55,28622.17443828121,Sales,2020-03-09
70,Person_70,60,46660.13403475525,IT,2020-03-10
71,Person_71,42,55269.14279486284,HR,2020-03-11
72,Person_72,43,49369.317930913116,Finance,2020-03-12
73,Person_73,37,52634.70491450026,Finance,2020-03-13
74,Person_74,45,58093.072685416446,HR,2020-03-14
75,Person_75,74,21104.833621026148,Finance,2020-03-15
76,Person_76,52,47002.04081502084,IT,2020-03-16
77,Person_77,37,43522.73354116231,Sales,2020-03-17
78,Person_78,73,52651.021913965706,IT,2020-03-18
79,Person_79,19,69856.54032681164,Sales,2020-03-19
80,Person_80,70,49734.056114429295,Sales,2020-03-20
81,Person_81,42,59912.535089566896,Finance,2020-03-21
82,Person_82,58,40598.142069857626,IT,2020-03-22
83,Person_83,47,69409.57579550729,HR,2020-03-23
84,Person_84,27,39472.96299795101,Sales,2020-03-24
85,Person_85,60,63844.11464024072,HR,2020-03-25
86,Person_86,58,39825.116210641936,HR,2020-03-26
87,Person_87,69,44782.38138141281,Finance,2020-03-27
88,Person_88,76,44912.849368368275,IT,2020-03-28
89,Person_89,53,50982.04265420557,Sales,2020-03-29
90,Person_90,55,37958.79512691291,IT,2020-03-30
91,Person_91,32,41582.54009652876,Sales,2020-03-31
92,Person_92,46,28827.439126964673,Sales,2020-04-01
93,Person_93,57,35850.30949534002,Sales,2020-04-02
94,Person_94,79,54679.41733581582,Finance,2020-04-03
95,Person_95,52,43792.019168112725,HR,2020-04-04
96,Person_96,27,33762.085779167464,Finance,2020-04-05
97,Person_97,79,72125.42147294918,HR,2020-04-06
98,Person_98,73,77382.32596537781,Sales,2020-04-07
99,Person_99,48,81306.47256340373,Finance,2020-04-08
100,Person_100,60,22974.497371463767,Finance,2020-04-09
